Probe Set ID,Gene Title,Gene Symbol
1434859_PM_at,uridine monophosphate synthetase,Umps
1434860_PM_at,dpy-19-like 4 (C. elegans),Dpy19l4
1434861_PM_at,kelch-like 28,Klhl28
1434862_PM_at,fucosyltransferase 2,Fut2
1434863_PM_at,"DnaJ (Hsp40) homolog, subfamily C, member 18",Dnajc18
1434864_PM_at,non imprinted in Prader-Willi/Angelman syndrome 1 homolog (human),Nipa1
1434865_PM_a_at,exocyst complex component 7,Exoc7
1434866_PM_x_at,"carnitine palmitoyltransferase 1a, liver",Cpt1a
1434867_PM_at,"solute carrier family 4, sodium bicarbonate transporter-like, member 11",Slc4a11
1434868_PM_at,RIKEN cDNA 4933431E20 gene,4933431E20Rik
1434869_PM_at,tudor domain containing 3,Tdrd3
1434870_PM_at,RIKEN cDNA 2810004N23 gene,2810004N23Rik
1434871_PM_at,cytochrome c oxidase assembly protein 17,Cox17
1434872_PM_x_at,predicted gene 13826 /// ribosomal protein L37,Gm13826 /// Rpl37
1434873_PM_a_at,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",Acap1
1434874_PM_x_at,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",Acap1
1434875_PM_a_at,high mobility group nucleosomal binding domain 3,Hmgn3
1434876_PM_at,glucoside xylosyltransferase 1,Gxylt1
1434877_PM_at,neuronal pentraxin 1,Nptx1
1434878_PM_at,---,---
1434879_PM_at,cell division cycle 34,Cdc34
1434880_PM_at,ets variant 6,Etv6
1434881_PM_s_at,potassium channel tetramerisation domain containing 12 /// microRNA 5130,Kctd12 /// Mir5130
1434882_PM_at,metadherin,Mtdh
1434883_PM_at,metadherin,Mtdh
1434884_PM_at,---,---
1434885_PM_at,"SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)",Spty2d1
1434886_PM_at,optic atrophy 3,Opa3
1434887_PM_at,neuronal calcium sensor 1,Ncs1
1434888_PM_a_at,matrin 3,Matr3
1434889_PM_at,"pleckstrin homology domain containing, family A member 7",Plekha7
1434890_PM_at,optic atrophy 1,Opa1
1434891_PM_at,prostaglandin F2 receptor negative regulator,Ptgfrn
1434892_PM_x_at,retinoblastoma binding protein 4,Rbbp4
1434893_PM_at,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",Atp1a2
1434894_PM_at,zinc finger CCCH type containing 13,Zc3h13
1434895_PM_s_at,"protein phosphatase 1, regulatory (inhibitor) subunit 13B",Ppp1r13b
1434896_PM_at,zinc finger protein 955A,Zfp955a
1434897_PM_a_at,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",Slc25a4
1434898_PM_at,trinucleotide repeat containing 6a,Tnrc6a
1434899_PM_s_at,trinucleotide repeat containing 6a,Tnrc6a
1434900_PM_at,MKL (megakaryoblastic leukemia)/myocardin-like 1,Mkl1
1434901_PM_at,zinc finger and BTB domain containing 2,Zbtb2
1434902_PM_at,ring finger protein 157,Rnf157
1434903_PM_s_at,interleukin 1 receptor-like 2,Il1rl2
1434904_PM_at,human immunodeficiency virus type I enhancer binding protein 2,Hivep2
1434905_PM_at,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2",Ndufa4l2
1434906_PM_at,RIKEN cDNA 0610005C13 gene,0610005C13Rik
1434907_PM_at,TATA box binding protein-like 1,Tbpl1
1434908_PM_at,SR-related CTD-associated factor 1,Scaf1
1434909_PM_at,Ras-related GTP binding D,Rragd
1434910_PM_at,RIKEN cDNA A830080D01 gene,A830080D01Rik
1434911_PM_s_at,Rho GTPase activating protein 19,Arhgap19
1434912_PM_at,resistance to inhibitors of cholinesterase 3 homolog (C. elegans),Ric3
1434913_PM_at,3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1,Hmgcll1
1434914_PM_at,"RAB6B, member RAS oncogene family",Rab6b
1434915_PM_s_at,leucine rich repeat containing 19,Lrrc19
1434916_PM_at,"vitamin K epoxide reductase complex, subunit 1-like 1",Vkorc1l1
1434917_PM_at,cordon-bleu WH2 repeat,Cobl
1434918_PM_at,SRY (sex determining region Y)-box 6,Sox6
1434919_PM_at,alkylglycerone phosphate synthase,Agps
1434920_PM_a_at,Ena-vasodilator stimulated phosphoprotein,Evl
1434921_PM_at,"nuclear receptor subfamily 2, group E, member 1",Nr2e1
1434922_PM_at,PHD finger protein 12,Phf12
1434923_PM_at,cytochrome c oxidase assembly protein 19,Cox19
1434924_PM_at,PHD finger protein 2,Phf2
1434925_PM_at,RIKEN cDNA 4833424O15 gene,4833424O15Rik
1434926_PM_at,Rho guanine nucleotide exchange factor (GEF) 11,Arhgef11
1434927_PM_at,"heat shock protein family, member 7 (cardiovascular)",Hspb7
1434928_PM_at,growth arrest-specific 2 like 1,Gas2l1
1434929_PM_at,cDNA sequence BC035044,BC035044
1434930_PM_at,two pore channel 1,Tpcn1
1434931_PM_at,neogenin,Neo1
1434932_PM_at,"adenosine deaminase, RNA-specific, B1",Adarb1
1434933_PM_at,RING CCCH (C3H) domains 1,Rc3h1
1434934_PM_at,ATP synthase mitochondrial F1 complex assembly factor 1,Atpaf1
1434935_PM_at,AP2 associated kinase 1,Aak1
1434936_PM_at,HIRA interacting protein 3,Hirip3
1434937_PM_at,MYC binding protein 2,Mycbp2
1434938_PM_at,"RNA binding protein, fox-1 homolog (C. elegans) 2",Rbfox2
1434939_PM_at,forkhead box F1,Foxf1
1434940_PM_x_at,regulator of G-protein signaling 19,Rgs19
1434941_PM_s_at,"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)",Esf1
1434942_PM_at,"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)",Esf1
1434943_PM_at,MORN repeat containing 4,Morn4
1434944_PM_at,dystrophia myotonica-protein kinase,Dmpk
1434945_PM_at,lysophosphatidylcholine acyltransferase 2,Lpcat2
1434946_PM_at,"DnaJ (Hsp40) homolog, subfamily C, member 27",Dnajc27
1434947_PM_at,kinesin family member 3C,Kif3c
1434948_PM_at,RAB11 family interacting protein 2 (class I),Rab11fip2
1434949_PM_at,armadillo repeat containing 8,Armc8
1434950_PM_a_at,armadillo repeat containing 8,Armc8
1434951_PM_at,armadillo repeat containing 8,Armc8
1434952_PM_at,ER membrane protein complex subunit 8,Emc8
1434953_PM_at,coiled-coil domain containing 93,Ccdc93
1434954_PM_at,"membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)",Mpp5
1434955_PM_at,membrane-associated ring finger (C3HC4) 1,March1
1434956_PM_at,ring finger protein 170,Rnf170
1434957_PM_at,cell adhesion molecule-related/down-regulated by oncogenes,Cdon
1434958_PM_at,sacsin,Sacs
1434959_PM_at,desert hedgehog,Dhh
1434960_PM_at,"TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor",Taf9b
1434961_PM_at,ankyrin repeat and SOCS box-containing 1,Asb1
1434962_PM_x_at,chemokine (C-C motif) ligand 27A,Ccl27a
1434963_PM_at,suppressor of Ty 3,Supt3
1434964_PM_at,archaelysin family metallopeptidase 2,Amz2
1434965_PM_at,R3H domain and coiled-coil containing 1 like,R3hcc1l
1434966_PM_at,"splicing factor, suppressor of white-apricot homolog (Drosophila)",Sfswap
1434967_PM_at,zinc finger SWIM-type containing 6,Zswim6
1434968_PM_a_at,ARP3 actin-related protein 3,Actr3
1434969_PM_at,"CUGBP, Elav-like family member 5",Celf5
1434970_PM_a_at,mitochondrial ribosomal protein L15,Mrpl15
1434971_PM_x_at,mitochondrial ribosomal protein L15,Mrpl15
1434972_PM_x_at,serine/arginine-rich splicing factor 1-like /// serine/arginine-rich splicing factor 1,LOC102641923 /// Srsf1
1434973_PM_at,carbonic anhydrase 7,Car7
1434974_PM_at,"pyruvate dehydrogenase kinase, isoenzyme 1",Pdk1
1434975_PM_x_at,"phosphatidylserine decarboxylase, pseudogene 3",Pisd-ps3
1434976_PM_x_at,eukaryotic translation initiation factor 4E binding protein 1,Eif4ebp1
1434977_PM_at,"family with sequence similarity 210, member A",Fam210a
1434978_PM_at,"family with sequence similarity 210, member A",Fam210a
1434979_PM_at,"family with sequence similarity 210, member A",Fam210a
1434980_PM_at,"phosphoinositide-3-kinase, regulatory subunit 5, p101",Pik3r5
1434981_PM_at,enkurin domain containing 1,Enkd1
1434982_PM_at,ring finger protein 182,Rnf182
1434983_PM_at,coiled-coil domain containing 108,Ccdc108
1434984_PM_at,polo-like kinase 5,Plk5
1434985_PM_a_at,eukaryotic translation initiation factor 4A1,Eif4a1
1434986_PM_a_at,Sec61 alpha 1 subunit (S. cerevisiae),Sec61a1
1434987_PM_at,"aldehyde dehydrogenase 2, mitochondrial",Aldh2
1434988_PM_x_at,"aldehyde dehydrogenase 2, mitochondrial",Aldh2
1434989_PM_at,unc-80 homolog (C. elegans),Unc80
1434990_PM_at,protein phosphatase 1E (PP2C domain containing),Ppm1e
1434991_PM_at,F-box and WD-40 domain protein 17,Fbxw17
1434992_PM_at,zinc finger RNA binding protein 2,Zfr2
1434993_PM_at,bone morphogenetic protein/retinoic acid inducible neural specific 3,Brinp3
1434994_PM_at,death effector domain-containing,Dedd
1434995_PM_s_at,death effector domain-containing,Dedd
1434996_PM_at,"solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16",Slc25a16
1434997_PM_at,cyclin-dependent kinase 19,Cdk19
1434998_PM_at,IQ motif containing GTPase activating protein 1,Iqgap1
1434999_PM_at,suppressor of variegation 4-20 homolog 1 (Drosophila),Suv420h1
1435000_PM_at,G1 to S phase transition 1,Gspt1
1435001_PM_at,"phospholipase A2, activating protein",Plaa
1435002_PM_at,zinc finger protein 507,Zfp507
1435003_PM_at,"phosphatidylinositol 4-kinase, catalytic, alpha polypeptide",Pi4ka
1435004_PM_at,pantothenate kinase 4,Pank4
1435005_PM_at,centromere protein E,Cenpe
1435006_PM_s_at,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",Abcb7
1435007_PM_s_at,"solute carrier family 25, member 47",Slc25a47
1435008_PM_at,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",Slc9a6
1435009_PM_at,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",Slc9a6
1435010_PM_at,ankyrin repeat and SOCS box-containing 7,Asb7
1435011_PM_x_at,"aldo-keto reductase family 1, member A1 (aldehyde reductase)",Akr1a1
1435012_PM_x_at,"chymotrypsin-like elastase family, member 3B /// predicted gene 13011 /// uncharacterized LOC102641402",Cela3b /// Gm13011 /// LOC102641402
1435013_PM_at,HEAT repeat containing 2,Heatr2
1435014_PM_at,"RAB39B, member RAS oncogene family",Rab39b
1435015_PM_at,zinc finger protein 787,Zfp787
1435016_PM_at,"trafficking protein, kinesin binding 2",Trak2
1435017_PM_at,"CDGSH iron sulfur domain 3 /// predicted gene, 20267",Cisd3 /// Gm20267
1435018_PM_at,calcium channel flower domain containing 1,Cacfd1
1435019_PM_at,ataxin 7-like 3,Atxn7l3
1435020_PM_at,kelch domain containing 2,Klhdc2
1435021_PM_at,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",Gabrb3
1435022_PM_at,ALX homeobox 1,Alx1
1435023_PM_at,intersectin 2,Itsn2
1435024_PM_at,RIKEN cDNA 4931428F04 gene,4931428F04Rik
1435025_PM_at,2-oxoglutarate and iron-dependent oxygenase domain containing 1,Ogfod1
1435026_PM_at,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2",Spock2
1435027_PM_at,"golgi autoantigen, golgin subfamily a, 1",Golga1
1435028_PM_at,WD repeat domain 7,Wdr7
1435029_PM_at,sterile alpha motif and leucine zipper containing kinase AZK,Zak
1435030_PM_at,UPF2 regulator of nonsense transcripts homolog (yeast),Upf2
1435031_PM_at,transmembrane protein 120A,Tmem120a
1435032_PM_at,"golgi autoantigen, golgin subfamily b, macrogolgin 1",Golgb1
1435033_PM_at,Rho guanine nucleotide exchange factor (GEF) 4,Arhgef4
1435034_PM_at,RNA polymerase II associated protein 2,Rpap2
1435035_PM_at,tRNA methyltransferase 10A,Trmt10a
1435036_PM_at,asparaginase homolog (S. cerevisiae),Aspg
1435037_PM_at,post-GPI attachment to proteins 3,Pgap3
1435038_PM_s_at,AP2 associated kinase 1,Aak1
1435039_PM_a_at,"phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha",Pip5k1a
1435040_PM_at,interleukin-1 receptor-associated kinase 3,Irak3
1435041_PM_at,"myosin, light polypeptide 6, alkali, smooth muscle and non-muscle",Myl6
1435042_PM_at,RIKEN cDNA 9130004C02 gene,9130004C02Rik
1435043_PM_at,"phospholipase C, beta 1",Plcb1
1435044_PM_at,early B cell factor 4,Ebf4
1435045_PM_s_at,mitogen-activated protein kinase 8 interacting protein 2,Mapk8ip2
1435046_PM_at,---,---
1435047_PM_at,"RAB3C, member RAS oncogene family",Rab3c
1435048_PM_at,expressed sequence AI854703,AI854703
1435049_PM_s_at,expressed sequence AI854703,AI854703
1435050_PM_at,"DNA segment, Chr 10, Brigham & Women's Genetics 1379 expressed",D10Bwg1379e
1435051_PM_at,WD repeat domain 44,Wdr44
1435052_PM_at,coiled-coil domain containing 181,Ccdc181
1435053_PM_s_at,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1",Plekhh1
1435054_PM_at,essential meiotic endonuclease 1 homolog 1 (S. pombe),Eme1
1435055_PM_a_at,target of myb1 homolog (chicken),Tom1
1435056_PM_x_at,protein O-fucosyltransferase 2,Pofut2
1435057_PM_x_at,polymerase (RNA) I polypeptide E,Polr1e
1435058_PM_x_at,syntaxin binding protein 3A,Stxbp3a
1435059_PM_at,"ArfGAP with SH3 domain, ankyrin repeat and PH domain1",Asap1
1435060_PM_at,tropomodulin 2,Tmod2
1435061_PM_at,nudix (nucleoside diphosphate linked moiety X)-type motif 10 /// nudix (nucleoside diphosphate linked moiety X)-type motif 11,Nudt10 /// Nudt11
1435062_PM_at,serine/arginine repetitive matrix 4,Srrm4
1435063_PM_at,"family with sequence similarity 43, member B",Fam43b
1435064_PM_a_at,transmembrane protein 27,Tmem27
1435065_PM_x_at,vav 2 oncogene,Vav2
1435066_PM_at,"phosphatidylinositol transfer protein, cytoplasmic 1",Pitpnc1
1435067_PM_at,"RAB, member RAS oncogene family-like 6",Rabl6
1435068_PM_at,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",Pip4k2b
1435069_PM_at,cDNA sequence BC064078,BC064078
1435070_PM_at,AE binding protein 2,Aebp2
1435071_PM_at,"zinc finger, FYVE domain containing 1",Zfyve1
1435072_PM_at,"zinc finger, FYVE domain containing 1",Zfyve1
1435073_PM_a_at,armadillo repeat containing 9,Armc9
1435074_PM_at,transmembrane protein 106B,Tmem106b
1435075_PM_at,transmembrane protein 106B,Tmem106b
1435076_PM_at,"family with sequence similarity 57, member A",Fam57a
1435077_PM_at,additional sex combs like 1,Asxl1
1435078_PM_at,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",Tanc2
1435079_PM_at,PNN interacting serine/arginine-rich,Pnisr
1435080_PM_x_at,PNN interacting serine/arginine-rich,Pnisr
1435081_PM_at,synaptophysin-like protein,Sypl
1435082_PM_at,synaptophysin-like protein,Sypl
1435083_PM_at,cortexin 1,Ctxn1
1435084_PM_at,RIKEN cDNA C730049O14 gene,C730049O14Rik
1435085_PM_at,cAMP responsive element binding protein-like 2,Crebl2
1435086_PM_s_at,kelch domain containing 2,Klhdc2
1435087_PM_at,zinc finger protein 362,Zfp362
1435088_PM_at,nuclear receptor-binding SET-domain protein 1,Nsd1
1435089_PM_at,RIKEN cDNA 2010111I01 gene,2010111I01Rik
1435090_PM_at,"tubulin, gamma complex associated protein 6",Tubgcp6
1435091_PM_at,zinc finger protein 568,Zfp568
1435092_PM_at,ADP-ribosylation factor-like 4A,Arl4a
1435093_PM_at,"zinc finger, FYVE domain containing 20",Zfyve20
1435094_PM_at,"potassium inwardly-rectifying channel, subfamily J, member 16",Kcnj16
1435095_PM_at,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",Gabrb1
1435096_PM_at,resistance to inhibitors of cholinesterase 8 homolog B (C. elegans),Ric8b
1435097_PM_at,methylmalonic aciduria (cobalamin deficiency) type B homolog (human),Mmab
1435098_PM_at,--- /// expressed sequence AA474331,AA474331 /// AA474331
1435099_PM_at,"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)",Utp14a
1435100_PM_at,ybeY metallopeptidase,Ybey
1435101_PM_at,"Der1-like domain family, member 2",Derl2
1435102_PM_a_at,syntaxin 18,Stx18
1435103_PM_x_at,"phenylalanyl-tRNA synthetase, beta subunit",Farsb
1435104_PM_at,"zinc finger, DHHC domain containing 21",Zdhhc21
1435105_PM_at,ring finger protein 208,Rnf208
1435106_PM_at,LIM and calponin homology domains 1,Limch1
1435107_PM_at,protein tyrosine phosphatase domain containing 1,Ptpdc1
1435108_PM_at,Rho GTPase activating protein 22,Arhgap22
1435109_PM_at,RIKEN cDNA 0710007G10 gene /// transmembrane protein 175,0710007G10Rik /// Tmem175
1435110_PM_at,unc-5 homolog B (C. elegans),Unc5b
1435111_PM_at,RIKEN cDNA 2310011E23 gene,2310011E23Rik
1435112_PM_a_at,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D",Atp5h
1435113_PM_x_at,stathmin-like 3,Stmn3
1435114_PM_at,WD repeat and HMG-box DNA binding protein 1,Wdhd1
1435115_PM_at,fibronectin type III domain containing 5,Fndc5
1435116_PM_at,microtubule-associated protein 10,Map10
1435117_PM_a_at,"DnaJ (Hsp40) homolog, subfamily C, member 27",Dnajc27
1435118_PM_at,tRNA splicing endonuclease 2 homolog (S. cerevisiae),Tsen2
1435119_PM_at,"predicted gene, 19439",Gm19439
1435120_PM_at,---,---
1435121_PM_at,"deiodinase, iodothyronine type III, opposite strand",Dio3os
1435122_PM_x_at,DNA methyltransferase (cytosine-5) 1,Dnmt1
1435123_PM_at,EFR3 homolog B (S. cerevisiae),Efr3b
1435124_PM_at,von Willebrand factor A domain containing 5B2,Vwa5b2
1435125_PM_at,proline rich membrane anchor 1,Prima1
1435126_PM_at,dual specificity phosphatase-like 15,Dusp15
1435127_PM_a_at,O-sialoglycoprotein endopeptidase-like 1,Osgepl1
1435128_PM_at,brain-specific angiogenesis inhibitor 1-associated protein 2,Baiap2
1435129_PM_at,protein tyrosine phosphatase 4a2,Ptp4a2
1435130_PM_at,trans-golgi network vesicle protein 23A,Tvp23a
1435131_PM_at,zinc finger protein 13,Zfp13
1435132_PM_at,dispatched homolog 1 (Drosophila),Disp1
1435133_PM_at,UDP-glucose ceramide glucosyltransferase,Ugcg
1435134_PM_at,neutral cholesterol ester hydrolase 1,Nceh1
1435135_PM_at,neutral cholesterol ester hydrolase 1,Nceh1
1435136_PM_at,Wolf-Hirschhorn syndrome candidate 1 (human),Whsc1
1435137_PM_s_at,RIKEN cDNA 1200015M12 gene /// RIKEN cDNA A130040M12 gene,1200015M12Rik /// A130040M12Rik
1435138_PM_at,"family with sequence similarity 155, member A",Fam155a
1435139_PM_at,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",Naa15
1435140_PM_at,insulin degrading enzyme,Ide
1435141_PM_at,SFT2 domain containing 2,Sft2d2
1435142_PM_at,SFT2 domain containing 2,Sft2d2
1435143_PM_at,"ELK3, member of ETS oncogene family",Elk3
1435144_PM_at,FYN binding protein,Fyb
1435145_PM_at,cell adhesion molecule 2,Cadm2
1435146_PM_s_at,cell adhesion molecule 2,Cadm2
1435147_PM_x_at,cell adhesion molecule 2,Cadm2
1435148_PM_at,"ATPase, Na+/K+ transporting, beta 2 polypeptide",Atp1b2
1435149_PM_at,"phospholipase C, gamma 1",Plcg1
1435150_PM_at,---,---
1435151_PM_a_at,ribosomal protein S3,Rps3
1435152_PM_at,leukocyte receptor cluster (LRC) member 8,Leng8
1435153_PM_at,BTB (POZ) domain containing 6,Btbd6
1435154_PM_at,expressed sequence AU018091,AU018091
1435155_PM_at,cingulin,Cgn
1435156_PM_at,centrosomal protein 104,Cep104
1435157_PM_at,hook homolog 3 (Drosophila),Hook3
1435158_PM_at,RNA binding motif protein 12 B1,Rbm12b1
1435159_PM_at,RIKEN cDNA 9430038I01 gene,9430038I01Rik
1435160_PM_at,"AHA1, activator of heat shock protein ATPase 2",Ahsa2
1435161_PM_at,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,Sepsecs
1435162_PM_at,"protein kinase, cGMP-dependent, type II",Prkg2
1435163_PM_at,zinc finger protein 871,Zfp871
1435164_PM_s_at,ubiquitin-like modifier activating enzyme 3,Uba3
1435165_PM_at,contactin 2,Cntn2
1435166_PM_at,contactin 2,Cntn2
1435167_PM_at,RAN binding protein 6,Ranbp6
1435168_PM_at,zinc finger protein 710,Zfp710
1435169_PM_at,CREB3 regulatory factor,Crebrf
1435170_PM_at,TSR2 20S rRNA accumulation,Tsr2
1435171_PM_at,uncharacterized LOC102642487,LOC102642487
1435172_PM_at,eomesodermin homolog (Xenopus laevis),Eomes
1435173_PM_at,arginyltransferase 1,Ate1
1435174_PM_at,"rosbin, round spermatid basic protein 1",Rsbn1
1435175_PM_at,cDNA sequence BC034090,BC034090
1435176_PM_a_at,inhibitor of DNA binding 2,Id2
1435177_PM_a_at,anaphase-promoting complex subunit 5,Anapc5
1435178_PM_x_at,anaphase-promoting complex subunit 5,Anapc5
1435179_PM_at,RIKEN cDNA C130071C03 gene,C130071C03Rik
1435180_PM_at,podocan,Podn
1435181_PM_at,lin-54 homolog (C. elegans),Lin54
1435182_PM_at,coiled-coil domain containing 61,Ccdc61
1435183_PM_at,TBK1 binding protein 1,Tbkbp1
1435184_PM_at,natriuretic peptide receptor 3,Npr3
1435185_PM_at,leucine rich repeat and coiled-coil domain containing 1,Lrrcc1
1435186_PM_s_at,leucine rich repeat and coiled-coil domain containing 1,Lrrcc1
1435187_PM_at,translocase of outer mitochondrial membrane 20 homolog (yeast),Tomm20
1435188_PM_at,circadian associated repressor of transcription,Ciart
1435189_PM_at,FERM and PDZ domain containing 1,Frmpd1
1435190_PM_at,cell adhesion molecule with homology to L1CAM,Chl1
1435191_PM_at,corneodesmosin,Cdsn
1435192_PM_at,SRY (sex determining region Y)-box 3,Sox3
1435193_PM_at,RIKEN cDNA A230050P20 gene,A230050P20Rik
1435194_PM_at,heat shock protein 4,Hspa4
1435195_PM_at,vasohibin 1,Vash1
1435196_PM_at,"neurotrophic tyrosine kinase, receptor, type 2",Ntrk2
1435197_PM_at,"POU domain, class 3, transcription factor 3",Pou3f3
1435198_PM_at,predicted gene 5817,Gm5817
1435199_PM_at,adenomatosis polyposis coli 2,Apc2
1435200_PM_at,RIKEN cDNA 6330419J24 gene,6330419J24Rik
1435201_PM_at,transmembrane protein 174,Tmem174
1435202_PM_at,zinc finger protein 574,Zfp574
1435203_PM_at,"mannosidase 2, alpha 2",Man2a2
1435204_PM_at,protein arginine N-methyltransferase 8,Prmt8
1435205_PM_at,"transcription factor AP-2, epsilon",Tfap2e
1435206_PM_at,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 4",Slc24a4
1435207_PM_at,DIX domain containing 1,Dixdc1
1435208_PM_at,deltex 3-like (Drosophila),Dtx3l
1435209_PM_at,focadhesin,Focad
1435210_PM_s_at,syntaphilin,Snph
1435211_PM_at,tetratricopeptide repeat domain 12,Ttc12
1435212_PM_at,"purinergic receptor P2X, ligand-gated ion channel, 2",P2rx2
1435213_PM_at,NHL repeat containing 1,Nhlrc1
1435214_PM_at,"gap junction protein, gamma 2",Gjc2
1435215_PM_at,"synergin, gamma",Synrg
1435216_PM_a_at,outer dense fiber of sperm tails 2,Odf2
1435217_PM_at,predicted gene 7969,Gm7969
1435218_PM_at,"RasGEF domain family, member 1A",Rasgef1a
1435219_PM_x_at,"beclin 1, autophagy related",Becn1
1435220_PM_s_at,CDC42 small effector 2,Cdc42se2
1435221_PM_at,forkhead box P1,Foxp1
1435222_PM_at,forkhead box P1,Foxp1
1435223_PM_at,ER lipid raft associated 2,Erlin2
1435224_PM_at,CREB binding protein,Crebbp
1435225_PM_s_at,"bromodomain and PHD finger containing, 3",Brpf3
1435226_PM_at,ring finger protein 19B,Rnf19b
1435227_PM_at,B cell leukemia/lymphoma 11B,Bcl11b
1435228_PM_at,cDNA sequence BC023829,BC023829
1435229_PM_at,GRAM domain containing 1B,Gramd1b
1435230_PM_at,ankyrin repeat domain 12,Ankrd12
1435231_PM_at,coenzyme Q4 homolog (yeast),Coq4
1435232_PM_x_at,mitochondrial ribosomal protein L15,Mrpl15
1435233_PM_at,nuclear receptor coactivator 2,Ncoa2
1435234_PM_at,nuclear receptor coactivator 2,Ncoa2
1435235_PM_at,thioredoxin-like 1,Txnl1
1435236_PM_at,transcription elongation factor A (SII) N-terminal and central domain containing,Tceanc
1435237_PM_at,RIKEN cDNA 2310009A05 gene,2310009A05Rik
1435238_PM_x_at,RIKEN cDNA 2310009A05 gene,2310009A05Rik
1435239_PM_at,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",Gria1
1435240_PM_at,"bromodomain adjacent to zinc finger domain, 2B",Baz2b
1435241_PM_at,HEAT repeat containing 5A,Heatr5a
1435242_PM_at,"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)",Pds5b
1435243_PM_at,zinc finger protein 746,Zfp746
1435244_PM_at,vav 2 oncogene,Vav2
1435245_PM_at,"glutaminase 2 (liver, mitochondrial)",Gls2
1435246_PM_at,progestin and adipoQ receptor family member VIII,Paqr8
1435247_PM_at,ubiquitin-like modifier activating enzyme 5,Uba5
1435248_PM_a_at,"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, (Mot1 homolog, S. cerevisiae)",Btaf1
1435249_PM_at,"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, (Mot1 homolog, S. cerevisiae)",Btaf1
1435250_PM_at,integrator complex subunit 8,Ints8
1435251_PM_at,sorting nexin 13,Snx13
1435252_PM_at,"UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6",B3galt6
1435253_PM_at,"RAB11B, member RAS oncogene family",Rab11b
1435254_PM_at,plexin B1,Plxnb1
1435255_PM_at,plexin B1,Plxnb1
1435256_PM_at,CAP-GLY domain containing linker protein 3,Clip3
1435257_PM_at,kelch-like 17,Klhl17
1435258_PM_at,transmembrane protein 141,Tmem141
1435259_PM_s_at,transmembrane protein 141,Tmem141
1435260_PM_at,thymoma viral proto-oncogene 3,Akt3
1435261_PM_at,transmembrane and tetratricopeptide repeat containing 1,Tmtc1
1435262_PM_at,"phosphatidylinositol glycan anchor biosynthesis, class N",Pign
1435263_PM_at,transmembrane protein 106A,Tmem106a
1435264_PM_at,elastin microfibril interfacer 2,Emilin2
1435265_PM_at,F-box protein 32,Fbxo32
1435266_PM_at,suppressor of cancer cell invasion,Scai
1435267_PM_at,---,---
1435268_PM_at,"guanine nucleotide binding protein, alpha z subunit",Gnaz
1435269_PM_at,N-6 adenine-specific DNA methyltransferase 2 (putative),N6amt2
1435270_PM_x_at,N-6 adenine-specific DNA methyltransferase 2 (putative),N6amt2
1435271_PM_at,interferon regulatory factor 3,Irf3
1435272_PM_at,"inositol 1,4,5-trisphosphate 3-kinase B",Itpkb
1435273_PM_at,tryptophanyl tRNA synthetase 2 (mitochondrial),Wars2
1435274_PM_at,speckle-type POZ protein-like,Spopl
1435275_PM_at,cytochrome c oxidase subunit VIb polypeptide 2,Cox6b2
1435276_PM_a_at,DiGeorge syndrome critical region gene 2,Dgcr2
1435277_PM_x_at,NME/NM23 nucleoside diphosphate kinase 1,Nme1
1435278_PM_at,SFT2 domain containing 3,Sft2d3
1435279_PM_at,seizure threshold 2,Szt2
1435280_PM_at,"phosphodiesterase 4D, cAMP specific",Pde4d
1435281_PM_at,carnitine palmitoyltransferase 1c,Cpt1c
